[05:06:46] of the revenue.  |  收入的金额。
[05:06:47] of the revenue cutters.  |  收入削减者。
[05:06:47] of the Revenue Cutter Service.  |  税收税局。
[05:06:47] of the Revenue Cutter Service.  |  税收税局。
[05:06:48] of the Revenue Cutter Service.  |  税收税局。
[05:06:48] read about that.  |  读到这个。
[05:06:49] read about that.  |  读到这个。
[05:06:49] read about that and studied that.  |  读了这些,并研究了一下。
[05:06:49] read about that and studied that.  |  读了这些,并研究了一下。
[05:06:50] read about that and studied that.  |  读了这些,并研究了一下。
[05:06:50] read about that and studied that. Today the  |  读并研究。今天,
[05:06:51] read about that and studied that. Today the coast guard  |  读了这个,研究一下。今天海岸警卫队
[05:06:51] read about that and studied that. Today, the Coast Guard.  |  读了这个,研究一下 今天是海岸警卫队
[05:06:52] read about that and studied that. Today, the Coast Guard has  |  阅读并研究一下,今天海岸警卫队
[05:06:52] Helps keep.  |  帮助保存。
[05:06:52] helps keep our war.  |  帮助维持我们的战争
[05:06:53] helps keep our waters.  |  帮助保持我们的水域
[05:06:53] helps keep our waters.  |  帮助保持我们的水域
[05:06:54] helps keep our waters open.  |  帮助保持水的开放
[05:06:55] helps keep our waters open for  |  帮助保持我们的水域开放
